Contig	SRR5004093_1_trimmed_bowtie_bt2-counts.txt	SRR5004090_1_trimmed_bowtie_bt2-counts.txt	SRR5004097_1_trimmed_bowtie_bt2-counts.txt	SRR5004082_1_trimmed_bowtie_bt2-counts.txt	SRR5004083_1_trimmed_bowtie_bt2-counts.txt	SRR5004094_1_trimmed_bowtie_bt2-counts.txt	SRR5004078_1_trimmed_bowtie_bt2-counts.txt	SRR5004096_1_trimmed_bowtie_bt2-counts.txt	SRR5004080_1_trimmed_bowtie_bt2-counts.txt	SRR5004095_1_trimmed_bowtie_bt2-counts.txt	SRR5004091_1_trimmed_bowtie_bt2-counts.txt	SRR5004085_1_trimmed_bowtie_bt2-counts.txt
contig#1	605	39	287	60	30	450	83	53	257	73	496	75
contig#10	465	86	452	96	33	456	98	127	285	93	493	102
contig#100	924	205	649	254	83	819	210	319	455	209	934	320
contig#1000	2319	733	1351	879	231	1702	677	969	1508	576	2302	1053
contig#10000	413	11	319	13	8	484	31	26	223	22	327	16
contig#10001	152	62	100	58	32	114	77	145	72	59	179	104
contig#10002	225	71	181	41	41	152	52	61	94	49	190	66
contig#10003	26	1	17	4	0	22	2	2	8	0	30	1
contig#10004	270	26	253	64	12	260	39	53	196	57	324	72
contig#10005	169	20	144	32	12	166	17	27	99	33	157	36
contig#10006	710	81	445	155	42	534	151	330	291	271	583	186
contig#10007	256	42	62	16	0	160	4	1	292	19	34	0
contig#10008	132	3	141	8	1	149	5	11	97	1	163	9
contig#10009	123	13	190	28	7	106	49	62	69	24	243	23
contig#1001	1272	88	819	98	47	1135	125	181	539	143	1154	171
contig#10010	407	94	295	117	47	310	80	158	241	104	457	170
contig#10011	106	49	119	69	33	87	39	92	78	36	140	94
contig#10012	4323	306	2245	378	237	2510	794	802	1716	668	3314	545
contig#10013	1370	217	330	628	295	577	542	689	663	301	923	1025
contig#10014	1496	85	777	107	30	1189	313	216	445	83	1379	207
contig#10015	5325	607	1701	1039	558	3054	2406	1630	1361	2142	3641	1242
contig#10016	59	16	39	16	3	56	10	11	55	13	66	25
contig#10017	48	35	38	35	6	38	21	48	52	18	87	57
contig#10018	6	1	2	2	0	2	2	9	10	2	2	4
contig#1002	24	2	5	1	0	25	0	0	40	4	13	2
contig#10020	19	2	4	2	0	14	1	5	13	5	14	4
contig#10021	210	8	191	19	11	229	17	15	122	15	234	31
contig#10022	2286	179	1544	249	104	2045	275	407	1243	255	2216	422
contig#10023	1532	81	1129	89	52	1517	112	110	874	128	1405	175
contig#10024	250	15	127	10	72	161	271	154	183	238	218	17
contig#10025	18	12	20	13	4	9	2	13	17	17	16	13
contig#10026	15	0	1	2	2	14	7	2	8	2	5	0
contig#10027	281	22	160	50	17	203	56	86	130	85	232	77
contig#10028	298	23	266	39	11	252	36	55	136	42	279	66
contig#10029	319	14	297	28	0	320	8	33	523	12	225	20
contig#1003	1774	53	1001	66	29	1752	136	93	518	138	1465	97
contig#10030	413	21	397	36	5	517	21	37	235	25	378	31
contig#10031	143	155	143	188	52	97	123	198	76	181	204	163
contig#10032	287	50	236	61	30	258	25	84	167	27	341	75
contig#10033	25	13	16	17	9	22	8	11	13	11	24	20
contig#10034	614	25	74	68	27	344	153	87	249	91	284	106
contig#10035	299	358	241	405	104	180	228	380	175	283	395	460
contig#10036	41	5	21	8	4	63	3	5	36	5	33	7
contig#10037	485	163	423	306	106	454	119	257	253	130	641	273
contig#10038	633	38	272	85	18	379	66	87	308	79	482	131
contig#10039	211	9	154	9	12	158	29	25	51	22	202	8
contig#1004	198	70	176	48	47	176	48	117	139	49	266	102
contig#10040	102	114	89	162	59	73	97	238	122	95	137	200
contig#10041	320	22	172	31	18	360	27	22	147	30	214	30
contig#10042	74	24	18	20	7	16	7	15	38	9	31	22
contig#10043	767	123	598	245	39	553	207	233	401	229	787	221
contig#10044	353	94	373	100	64	330	94	159	250	94	429	130
contig#10045	1144	191	694	382	67	886	235	378	653	257	1023	448
contig#10046	2157	39	879	560	178	927	329	345	937	263	1880	694
contig#10047	15	1	12	7	1	10	6	8	4	2	10	3
contig#10048	66	9	53	20	12	20	13	35	18	13	65	50
contig#10049	17	7	8	11	6	14	13	6	17	12	30	9
contig#1005	501	90	406	132	77	397	96	196	281	126	511	170
contig#10050	923	113	519	258	22	569	159	160	482	278	672	210
contig#10051	208	28	65	9	0	133	21	5	105	25	90	14
contig#10052	81	11	22	9	1	45	8	12	61	7	30	13
contig#10053	604	163	604	187	177	507	225	379	309	250	771	239
contig#10054	326	42	228	60	18	236	63	92	98	64	329	121
contig#10055	180	12	53	22	4	112	28	22	68	23	108	31
contig#10056	386	236	426	179	81	422	115	298	343	89	742	297
contig#10057	410	128	371	276	118	347	100	208	333	134	531	215
contig#10058	1144	52	613	68	8	863	65	55	484	58	809	52
contig#10059	262	40	177	48	22	229	50	101	141	52	238	50
contig#1006	706	95	466	108	179	495	359	345	529	312	818	237
contig#10060	42	1	1	11	7	16	124	11	43	14	41	66
contig#10061	170	21	47	28	12	133	50	30	62	47	105	35
contig#10062	485	25	453	67	28	427	68	127	230	70	559	117
contig#10063	613	28	278	43	7	426	64	42	222	46	478	62
contig#10064	134	5	39	9	2	54	15	10	30	17	76	15
contig#10065	145	1	40	8	2	56	19	24	68	8	80	23
contig#10066	32	1	9	0	1	10	0	4	11	4	7	0
contig#10067	88	27	87	28	29	59	29	41	55	39	130	35
contig#10068	708	41	405	60	15	510	64	79	282	51	615	94
contig#10069	353	27	242	34	4	301	18	10	166	27	261	28
contig#1007	2405	117	279	372	110	1367	1121	324	732	514	1001	564
contig#10070	990	18	312	38	9	368	78	42	423	27	603	92
contig#10071	190	59	161	85	36	235	49	82	197	58	208	45
contig#10072	253	5	149	11	3	194	38	34	81	28	217	31
contig#10073	423	41	333	77	28	351	55	71	171	71	400	88
contig#10074	93	4	97	11	1	58	2	7	161	1	84	11
contig#10075	683	202	555	208	92	485	188	333	345	161	783	265
contig#10076	365	42	309	57	27	362	32	44	131	71	309	49
contig#10077	565	49	340	98	42	453	81	158	329	81	470	133
contig#10078	1225	103	794	143	22	988	118	137	795	137	1196	235
contig#10079	206	24	83	60	9	139	17	19	91	45	80	63
contig#1008	11869	1609	7252	2202	1284	8677	2802	3538	5741	2412	11914	3215
contig#10080	388	462	212	787	214	121	407	691	301	291	683	805
contig#10081	674	60	706	50	5	982	22	37	426	46	564	34
contig#10082	1056	186	870	286	76	1068	171	278	611	258	1244	368
contig#10083	874	34	202	86	29	465	120	105	372	142	534	94
contig#10084	17	6	6	0	0	4	2	1	15	2	1	1
contig#10085	258	47	224	70	27	223	50	78	134	68	241	66
contig#10086	137	2	50	6	6	49	22	12	56	10	84	30
