Contig	SRR5004082_1_trimmed.fq.gz.sam_counts.txt	SRR5004093_1_trimmed.fq.gz.sam_counts.txt	SRR5004080_1_trimmed.fq.gz.sam_counts.txt	SRR5004085_1_trimmed.fq.gz.sam_counts.txt	SRR5004091_1_trimmed.fq.gz.sam_counts.txt	SRR5004078_1_trimmed.fq.gz.sam_counts.txt	SRR5004096_1_trimmed.fq.gz.sam_counts.txt	SRR5004097_1_trimmed.fq.gz.sam_counts.txt	SRR5004095_1_trimmed.fq.gz.sam_counts.txt	SRR5004083_1_trimmed.fq.gz.sam_counts.txt	SRR5004090_1_trimmed.fq.gz.sam_counts.txt	SRR5004094_1_trimmed.fq.gz.sam_counts.txt
contig#1	58	591	252	74	494	82	52	284	72	30	39	439
contig#10	95	455	281	98	488	94	124	453	87	33	78	452
contig#100	252	919	455	318	917	210	315	647	204	80	202	824
contig#1000	871	2304	1495	1046	2279	679	963	1337	558	230	730	1694
contig#10000	11	397	220	13	320	30	26	302	21	7	11	468
contig#10001	61	155	75	104	186	77	147	106	62	32	62	113
contig#10002	41	227	95	69	193	52	60	183	48	40	71	150
contig#10003	4	26	8	1	33	2	2	17	0	0	1	22
contig#10004	59	259	182	71	306	39	49	239	54	10	26	244
contig#10005	30	163	93	36	150	17	26	138	28	13	22	164
contig#10006	117	341	223	157	487	77	171	331	107	34	72	296
contig#10007	19	257	286	0	35	4	1	62	20	0	42	155
contig#10008	8	128	87	9	156	4	10	125	1	1	3	140
contig#10009	26	82	53	23	192	50	58	150	23	7	12	80
contig#1001	97	1270	539	171	1147	125	174	817	142	47	90	1139
contig#10010	117	406	240	171	460	79	160	294	104	47	95	309
contig#10011	68	105	78	94	143	37	92	120	36	34	49	85
contig#10012	376	4237	1701	541	3257	784	798	2183	663	237	304	2488
contig#10013	609	1331	653	999	909	530	676	323	294	290	212	569
contig#10014	103	1463	438	201	1356	305	205	768	82	30	84	1182
contig#10015	953	4314	1150	1130	2876	2075	1400	1379	1850	466	549	2477
contig#10016	16	62	50	23	59	10	11	41	14	3	15	54
contig#10017	32	48	53	57	84	21	47	37	18	6	35	39
contig#10018	1	5	10	3	1	2	8	2	2	0	0	2
contig#1002	2	25	39	2	13	0	0	6	4	0	2	21
contig#10020	2	20	13	4	14	1	3	4	3	0	2	13
contig#10021	19	214	120	33	242	17	16	190	16	11	8	229
contig#10022	251	2285	1249	422	2223	276	411	1555	264	101	182	2048
contig#10023	87	1511	857	174	1379	110	109	1109	124	48	76	1498
contig#10024	10	251	181	18	215	267	151	125	238	72	15	162
contig#10025	16	18	16	11	15	2	10	16	13	2	13	9
contig#10026	2	15	9	0	5	7	2	1	2	2	0	14
contig#10027	47	264	127	77	216	53	78	156	85	16	27	191
contig#10028	13	255	110	40	232	21	28	209	21	4	9	231
contig#10029	28	321	524	20	233	8	32	300	12	0	14	324
contig#1003	64	1808	537	102	1462	136	95	1022	137	29	51	1736
contig#10030	34	417	234	31	376	22	37	395	25	5	21	516
contig#10031	194	141	75	165	206	121	197	142	182	51	156	97
contig#10032	63	281	167	75	338	29	85	237	30	29	49	249
contig#10033	1	14	8	0	14	1	0	6	7	0	0	17
contig#10034	65	590	221	101	253	145	80	63	89	27	22	326
contig#10035	380	285	168	434	383	219	356	230	267	102	348	171
contig#10036	8	41	36	7	32	3	5	21	5	4	5	61
contig#10037	303	465	249	263	621	116	252	408	128	104	162	439
contig#10038	87	639	311	131	481	67	89	273	81	18	38	384
contig#10039	7	137	36	7	133	21	21	103	15	10	8	110
contig#1004	48	202	140	102	266	48	117	179	47	47	70	176
contig#10040	155	98	119	193	133	91	237	87	94	56	113	71
contig#10041	31	316	146	29	208	27	22	170	30	18	22	354
contig#10042	18	69	36	22	30	7	12	14	9	4	20	15
contig#10043	242	755	393	215	761	199	228	583	219	39	118	535
contig#10044	83	324	208	118	371	69	125	332	73	51	85	302
contig#10045	385	1147	653	451	1030	235	378	695	260	68	195	893
contig#10046	540	2139	925	684	1856	327	337	866	259	178	41	917
contig#10047	5	7	2	0	6	5	6	5	1	1	0	8
contig#10048	21	67	14	49	63	14	35	49	14	13	7	19
contig#10049	9	14	17	9	28	12	3	8	11	6	6	14
contig#1005	130	490	272	169	502	93	188	398	122	75	84	395
contig#10050	256	913	478	213	660	155	154	516	276	21	110	557
contig#10051	9	207	105	15	93	21	5	66	26	0	29	136
contig#10052	5	74	53	0	26	1	4	22	10	0	9	43
contig#10053	183	573	294	232	704	207	359	566	228	165	150	485
contig#10054	57	307	90	115	318	63	90	221	61	17	42	224
contig#10055	23	178	69	36	110	26	22	52	23	5	12	110
contig#10056	101	272	233	169	546	61	219	277	61	44	125	353
contig#10057	245	389	298	202	505	90	185	346	127	98	112	331
contig#10058	68	1136	478	53	802	64	55	615	57	8	52	856
contig#10059	46	262	135	50	237	47	98	174	52	20	39	224
contig#1006	104	690	521	230	802	346	336	457	316	177	92	506
contig#10060	9	42	48	60	34	127	11	1	14	8	2	16
contig#10061	27	172	66	37	107	49	32	48	45	12	21	135
contig#10062	49	220	99	95	237	46	94	162	47	25	18	161
contig#10063	43	606	218	62	470	63	36	277	43	6	24	427
contig#10064	9	135	25	16	77	14	10	37	17	2	6	52
contig#10065	8	147	63	25	84	21	24	36	8	1	0	55
contig#10067	24	89	54	32	128	29	36	85	36	28	21	60
contig#10068	61	711	281	94	614	64	79	407	51	15	41	511
contig#10069	33	344	163	27	255	18	10	228	27	4	27	300
contig#1007	365	2409	733	562	1001	1118	323	281	510	110	117	1370
contig#10070	37	959	410	91	590	75	41	306	26	9	17	357
contig#10071	83	186	196	48	203	48	81	156	59	35	55	234
contig#10072	11	207	58	27	178	35	28	122	26	2	4	157
contig#10073	75	404	167	86	392	52	71	316	69	25	38	340
contig#10074	11	97	160	11	81	2	7	86	1	1	4	56
contig#10075	209	678	348	262	782	190	335	556	163	89	201	484
contig#10076	61	363	131	51	304	32	42	304	69	26	43	367
contig#10077	98	569	329	133	474	81	156	339	82	43	49	454
contig#10078	146	1235	802	236	1209	118	140	797	137	21	105	991
contig#10079	39	91	50	58	62	15	19	46	32	9	15	78
contig#1008	2141	11504	5525	3163	11765	2766	3470	7047	2361	1258	1576	8408
contig#10080	772	368	283	789	663	388	680	212	278	207	450	117
contig#10081	53	669	418	32	552	22	35	704	46	4	56	967
contig#10082	277	1051	606	366	1239	165	276	859	255	77	184	1084
contig#10083	83	852	356	90	509	122	98	195	132	29	35	452
contig#10085	69	260	133	71	235	49	78	219	67	27	45	218
contig#10086	6	134	56	31	79	24	12	48	10	6	2	46
contig#10087	51	183	65	41	162	38	42	109	21	21	23	137
contig#10089	229	1047	465	338	643	251	281	310	181	50	107	719
contig#1009	3	102	40	7	62	7	3	52	1	1	2	157
contig#10090	117	781	390	209	718	101	119	599	122	39	69	756
contig#10091	26	62	49	42	73	25	33	18	24	20	6	20
contig#10092	7	50	25	15	64	5	8	31	7	4	10	38
contig#10093	286	2216	697	388	2082	309	424	1507	425	130	170	1764
contig#10094	25	1447	157	5	1819	203	97	1303	353	74	20	954
contig#10095	98	269	166	130	304	94	178	231	108	30	69	174
contig#10096	63	318	277	33	291	33	82	386	44	9	23	400
contig#10098	9	98	106	26	132	57	43	93	55	29	22	97
contig#10099	58	473	215	45	370	45	31	273	56	7	16	364
contig#101	17	65	25	20	56	32	25	47	26	5	10	56
contig#1010	1102	4676	2230	1597	4541	929	1424	2726	859	335	787	3463
contig#10100	13	58	26	27	55	17	17	57	14	7	9	55
contig#10101	208	1016	534	247	913	208	248	676	257	127	128	980
contig#10102	263	2539	1189	387	2198	328	303	1417	321	104	202	1668
contig#10103	16	45	26	16	13	13	42	11	24	13	2	12
contig#10104	18	95	105	13	144	91	81	86	109	41	17	72
contig#10105	12	15	44	9	4	2	34	9	2	1	3	4
contig#10106	21	206	74	12	156	14	14	112	11	2	9	116
contig#10107	31	11	13	27	14	14	24	13	10	20	16	6
contig#10108	87	400	185	116	454	72	127	366	84	37	66	345
contig#10109	175	1218	244	188	217	496	160	103	355	57	32	1308
contig#1011	32	640	378	69	507	52	63	376	54	12	33	543
contig#10110	3	35	14	2	30	3	0	36	1	1	2	26
