Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#1	72	58	252	591	74	494	30	284	39	52	439	82
contig#10	87	95	281	455	98	490	33	453	78	124	452	94
contig#100	207	253	456	927	318	921	81	647	202	319	825	211
contig#1000	566	873	1495	2310	1048	2280	230	1339	731	964	1697	679
contig#10000	21	13	223	412	14	327	8	313	11	27	482	30
contig#10001	62	61	76	156	104	189	32	106	62	147	114	77
contig#10002	48	42	96	227	69	193	40	184	73	61	151	53
contig#10004	54	60	183	260	72	306	11	240	26	49	245	39
contig#10005	29	30	94	163	36	151	13	140	23	26	164	17
contig#10006	109	117	228	348	167	503	34	341	72	172	306	82
contig#10007	20	19	291	261	0	35	0	62	42	1	158	4
contig#10008	1	8	87	128	9	157	2	127	3	11	143	4
contig#10009	23	26	56	90	23	202	8	156	13	58	83	50
contig#1001	142	97	540	1270	171	1149	47	819	90	177	1139	125
contig#10010	104	121	240	411	171	462	47	296	95	161	312	80
contig#10011	36	68	79	106	94	143	34	120	49	92	85	37
contig#10012	664	376	1703	4246	542	3262	237	2184	305	799	2489	786
contig#10013	299	611	656	1337	1006	914	292	325	212	678	571	532
contig#10014	83	107	445	1485	204	1381	31	776	85	211	1196	310
contig#10015	2014	1013	1243	4835	1184	3271	515	1611	575	1517	2815	2238
contig#10016	14	16	52	62	25	67	3	42	15	11	54	10
contig#10017	18	32	53	48	57	84	6	37	35	47	39	21
contig#10018	2	1	10	6	3	1	0	2	0	8	2	2
contig#1002	4	2	42	26	2	13	0	6	2	0	21	0
contig#10020	3	2	14	20	4	15	0	4	2	3	13	1
contig#10021	18	19	121	218	34	242	11	190	8	17	231	17
contig#10022	264	251	1255	2306	424	2241	103	1566	185	412	2064	276
contig#10023	124	87	859	1514	174	1380	48	1109	76	109	1500	110
contig#10024	238	10	182	252	18	217	72	125	15	151	162	269
contig#10025	14	16	16	19	13	15	4	20	13	11	9	2
contig#10026	2	2	9	15	0	5	2	1	0	2	14	7
contig#10027	87	48	129	274	81	224	17	159	27	84	192	53
contig#10028	21	14	110	263	40	234	4	210	9	28	231	23
contig#10029	12	28	525	325	20	234	0	300	14	33	324	8
contig#1003	137	65	540	1811	103	1466	29	1029	51	95	1739	136
contig#10030	25	34	235	420	31	377	5	395	21	37	516	22
contig#10031	183	198	75	141	166	208	51	147	157	197	97	122
contig#10032	30	63	168	283	76	341	29	237	49	85	251	30
contig#10033	7	1	8	15	0	14	0	6	0	0	18	1
contig#10034	89	66	223	594	104	253	27	65	22	80	326	145
contig#10035	267	382	168	286	436	383	102	230	348	359	172	219
contig#10036	5	8	36	41	7	32	4	21	5	5	61	3
contig#10037	128	304	250	467	264	624	105	412	163	253	442	117
contig#10038	83	87	312	641	132	484	18	274	38	89	386	67
contig#10039	16	7	39	149	8	139	10	109	8	21	121	22
contig#1004	49	48	140	202	105	266	47	179	70	118	176	48
contig#10040	94	161	119	98	196	134	56	87	114	237	71	93
contig#10041	30	31	146	316	29	208	18	170	22	22	355	27
contig#10042	9	18	37	69	22	30	4	14	20	12	15	7
contig#10043	220	245	397	758	216	770	38	584	118	231	541	199
contig#10044	75	83	210	328	119	372	52	333	85	126	304	69
contig#10045	260	385	653	1150	451	1034	68	697	195	380	895	238
contig#10046	259	541	931	2144	687	1860	178	871	41	341	918	327
contig#10047	1	6	3	10	0	6	1	5	0	6	9	6
contig#10048	14	21	16	67	50	63	13	51	8	35	19	14
contig#10049	11	10	18	15	9	28	6	8	6	4	14	12
contig#1005	122	130	273	496	170	504	75	400	84	192	396	94
contig#10050	278	258	479	921	216	662	21	520	111	156	561	158
contig#10051	26	9	105	214	15	93	0	67	29	5	139	21
contig#10052	10	5	54	75	0	26	0	22	9	4	43	1
contig#10053	229	183	296	575	233	706	165	569	151	361	487	208
contig#10054	62	57	93	311	116	319	18	225	42	90	227	63
contig#10055	25	23	69	181	36	111	5	54	12	22	112	27
contig#10056	73	121	259	316	212	609	62	331	167	253	375	76
contig#10057	131	270	314	396	213	512	109	352	120	199	339	92
contig#10058	57	68	481	1137	53	802	8	616	52	55	858	64
contig#10059	53	47	136	264	51	241	20	178	39	98	228	48
contig#1006	324	109	537	712	231	813	180	461	94	344	511	351
contig#10060	14	10	48	44	66	38	8	1	2	12	17	129
contig#10061	45	27	66	173	38	107	13	50	21	33	136	49
contig#10062	47	50	104	234	93	252	26	183	19	93	165	47
contig#10063	43	43	220	609	62	471	6	277	25	38	429	63
contig#10064	17	9	25	135	16	77	2	37	6	10	53	14
contig#10065	8	8	65	151	25	85	1	38	0	26	55	21
contig#10066	4	0	10	30	0	7	2	10	1	4	10	0
contig#10067	36	25	54	89	32	130	28	86	21	37	60	29
contig#10068	51	61	281	711	94	615	15	407	41	79	512	64
contig#10069	27	33	165	347	27	257	4	232	27	10	300	18
contig#1007	511	367	733	2414	562	1002	110	282	117	323	1371	1124
contig#10070	27	37	410	959	91	591	9	306	17	41	359	75
contig#10071	60	86	196	187	49	206	35	157	55	84	234	48
contig#10072	27	11	61	211	27	181	2	124	4	28	164	35
contig#10073	70	76	168	409	86	395	25	318	39	71	344	53
contig#10074	1	11	162	102	11	82	1	88	4	7	56	2
contig#10075	163	210	349	679	263	784	89	557	201	335	486	190
contig#10076	71	62	131	367	51	308	27	309	43	42	375	32
contig#10077	82	99	330	571	133	477	44	339	49	156	456	81
contig#10078	138	146	814	1241	236	1218	21	805	105	140	1006	119
contig#10079	32	40	52	94	58	62	9	46	15	19	78	15
contig#1008	2368	2145	5566	11556	3170	11776	1259	7094	1581	3492	8440	2769
contig#10080	279	774	286	367	789	664	208	212	450	685	117	388
contig#10081	46	54	422	673	32	555	4	708	57	35	973	22
contig#10082	257	279	608	1054	370	1243	80	867	184	278	1090	168
contig#10083	132	83	358	855	90	514	29	199	36	98	453	124
