Contig,Student,Aligner,DE
contig#43766,Annika,salmon,limma-voom
contig#42201,Annika,salmon,limma-voom
contig#16759,Annika,salmon,limma-voom
contig#31,Annika,salmon,limma-voom
contig#47679,Annika,salmon,limma-voom
contig#8215,Annika,salmon,limma-voom
contig#36,Annika,salmon,limma-voom
contig#20614,Annika,salmon,limma-voom
contig#9985,Annika,salmon,limma-voom
contig#32923,Annika,salmon,limma-voom
contig#56938,Bethany,bowtie2,DESeq2
contig#46631,Bethany,bowtie2,DESeq2
contig#56843,Bethany,bowtie2,DESeq2
contig#53526,Bethany,bowtie2,DESeq2
contig#38785,Bethany,bowtie2,DESeq2
contig#59260,Bethany,bowtie2,DESeq2
contig#26623,Bethany,bowtie2,DESeq2
contig#59081,Bethany,bowtie2,DESeq2
contig#57099,Bethany,bowtie2,DESeq2
contig#19742,Bethany,bowtie2,DESeq2
contig#4273,Cory_QLF,bowtie2,EdgeR
contig#165,Cory_QLF,bowtie2,EdgeR
contig#2296,Cory_QLF,bowtie2,EdgeR
contig#32408,Cory_QLF,bowtie2,EdgeR
contig#7873,Cory_QLF,bowtie2,EdgeR
contig#19897,Cory_QLF,bowtie2,EdgeR
contig#797,Cory_QLF,bowtie2,EdgeR
contig#24372,Cory_QLF,bowtie2,EdgeR
contig#13984,Cory_QLF,bowtie2,EdgeR
contig#20728,Cory_QLF,bowtie2,EdgeR
contig#4273,Cory_ET,bowtie2,EdgeR
contig#165,Cory_ET,bowtie2,EdgeR
contig#2296,Cory_ET,bowtie2,EdgeR
contig#32408,Cory_ET,bowtie2,EdgeR
contig#7873,Cory_ET,bowtie2,EdgeR
contig#19897,Cory_ET,bowtie2,EdgeR
contig#24372,Cory_ET,bowtie2,EdgeR
contig#797,Cory_ET,bowtie2,EdgeR
contig#13984,Cory_ET,bowtie2,EdgeR
contig#20728,Cory_ET,bowtie2,EdgeR
contig#51596,Cynthia,BWA,EdgeR
contig#2472,Cynthia,BWA,EdgeR
contig#56931,Cynthia,BWA,EdgeR
contig#57871,Cynthia,BWA,EdgeR
contig#58151,Cynthia,BWA,EdgeR
contig#13235,Cynthia,BWA,EdgeR
contig#58667,Cynthia,BWA,EdgeR
contig#31410,Cynthia,BWA,EdgeR
contig#56790,Cynthia,BWA,EdgeR
contig#59091,Cynthia,BWA,EdgeR
contig#7164,David,BWA,DESeq2
contig#21424,David,BWA,DESeq2
contig#56790,David,BWA,DESeq2
contig#8525,David,BWA,DESeq2
contig#59343,David,BWA,DESeq2
contig#59347,David,BWA,DESeq2
contig#9516,David,BWA,DESeq2
contig#8127,David,BWA,DESeq2
contig#10499,David,BWA,DESeq2
contig#2736,David,BWA,DESeq2
contig#56790,Emilie,kallisto,DESeq2
contig#7164,Emilie,kallisto,DESeq2
contig#3317,Emilie,kallisto,DESeq2
contig#58528,Emilie,kallisto,DESeq2
contig#59091,Emilie,kallisto,DESeq2
contig#21031,Emilie,kallisto,DESeq2
contig#56931,Emilie,kallisto,DESeq2
