Contig,Student,Aligner,DE
contig#10499,Bethany,bowtie2,DESeq2
contig#2736,Bethany,bowtie2,DESeq2
contig#9516,Bethany,bowtie2,DESeq2
contig#8127,Bethany,bowtie2,DESeq2
contig#59342,Bethany,bowtie2,DESeq2
contig#57403,Bethany,bowtie2,DESeq2
contig#59347,Bethany,bowtie2,DESeq2
contig#58188,Bethany,bowtie2,DESeq2
contig#56790,Bethany,bowtie2,DESeq2
contig#59091,Bethany,bowtie2,DESeq2
contig#24502,Cory_QLF,bowtie2,EdgeR
contig#9231,Cory_QLF,bowtie2,EdgeR
contig#24659,Cory_QLF,bowtie2,EdgeR
contig#9115,Cory_QLF,bowtie2,EdgeR
contig#23665,Cory_QLF,bowtie2,EdgeR
contig#44799,Cory_QLF,bowtie2,EdgeR
contig#11186,Cory_QLF,bowtie2,EdgeR
contig#53303,Cory_QLF,bowtie2,EdgeR
contig#10643,Cory_QLF,bowtie2,EdgeR
contig#30258,Cory_QLF,bowtie2,EdgeR
contig#24502,Cory_ET,bowtie2,EdgeR
contig#9231,Cory_ET,bowtie2,EdgeR
contig#9115,Cory_ET,bowtie2,EdgeR
contig#24659,Cory_ET,bowtie2,EdgeR
contig#23665,Cory_ET,bowtie2,EdgeR
contig#44799,Cory_ET,bowtie2,EdgeR
contig#53303,Cory_ET,bowtie2,EdgeR
contig#11186,Cory_ET,bowtie2,EdgeR
contig#30258,Cory_ET,bowtie2,EdgeR
contig#10643,Cory_ET,bowtie2,EdgeR
contig#56938,Cynthia,BWA,EdgeR
contig#56843,Cynthia,BWA,EdgeR
contig#46631,Cynthia,BWA,EdgeR
contig#59081,Cynthia,BWA,EdgeR
contig#57099,Cynthia,BWA,EdgeR
contig#58880,Cynthia,BWA,EdgeR
contig#38785,Cynthia,BWA,EdgeR
contig#53741,Cynthia,BWA,EdgeR
contig#34705,Cynthia,BWA,EdgeR
contig#54614,Cynthia,BWA,EdgeR
contig#58435,David,BWA,DESeq2
contig#56938,David,BWA,DESeq2
contig#46631,David,BWA,DESeq2
contig#56843,David,BWA,DESeq2
contig#38785,David,BWA,DESeq2
contig#59081,David,BWA,DESeq2
contig#26623,David,BWA,DESeq2
contig#59206,David,BWA,DESeq2
contig#46907,David,BWA,DESeq2
contig#59007,David,BWA,DESeq2
contig#56938,Emilie,kallisto,DESeq2
contig#46631,Emilie,kallisto,DESeq2
contig#58360,Emilie,kallisto,DESeq2
contig#38785,Emilie,kallisto,DESeq2
contig#48564,Emilie,kallisto,DESeq2
contig#56843,Emilie,kallisto,DESeq2
contig#56886,Emilie,kallisto,DESeq2
contig#56735,Emilie,kallisto,DESeq2
contig#59081,Emilie,kallisto,DESeq2
contig#42585,Emilie,kallisto,DESeq2
contig#57871,Noah,kallisto,EdgeR
contig#59091,Noah,kallisto,EdgeR
contig#4273,Noah,kallisto,EdgeR
contig#16642,Noah,kallisto,EdgeR
contig#165,Noah,kallisto,EdgeR
contig#2296,Noah,kallisto,EdgeR
contig#32408,Noah,kallisto,EdgeR
contig#7873,Noah,kallisto,EdgeR
contig#25925,Noah,kallisto,EdgeR
contig#12388,Noah,kallisto,EdgeR
contig#30878,Irene,kallisto,limma-voom
contig#23665,Irene,kallisto,limma-voom
contig#9231,Irene,kallisto,limma-voom
contig#24502,Irene,kallisto,limma-voom
contig#29891,Irene,kallisto,limma-voom
contig#9563,Irene,kallisto,limma-voom
contig#9115,Irene,kallisto,limma-voom
contig#46415,Irene,kallisto,limma-voom
contig#38785,Irene,kallisto,limma-voom
contig#46631,Irene,kallisto,limma-voom
contig#51283,Jordan,bowtie2,limma-voom
contig#33431,Jordan,bowtie2,limma-voom
contig#50051,Jordan,bowtie2,limma-voom
contig#46415,Jordan,bowtie2,limma-voom
contig#21444,Jordan,bowtie2,limma-voom
contig#37372,Jordan,bowtie2,limma-voom
contig#44393,Jordan,bowtie2,limma-voom
contig#43939,Jordan,bowtie2,limma-voom
contig#36327,Jordan,bowtie2,limma-voom
contig#21389,Jordan,bowtie2,limma-voom
contig#2736,Naomi,salmon,EdgeR
contig#10499,Naomi,salmon,EdgeR
contig#59347,Naomi,salmon,EdgeR
contig#9516,Naomi,salmon,EdgeR
contig#8127,Naomi,salmon,EdgeR
contig#20603,Naomi,salmon,EdgeR
contig#59342,Naomi,salmon,EdgeR
contig#11761,Naomi,salmon,EdgeR
contig#56790,Naomi,salmon,EdgeR
contig#24120,Naomi,salmon,EdgeR
contig#58435,Taylor,salmon,limma-voom
contig#56938,Taylor,salmon,limma-voom
contig#46631,Taylor,salmon,limma-voom
contig#53526,Taylor,salmon,limma-voom
contig#38785,Taylor,salmon,limma-voom
contig#56843,Taylor,salmon,limma-voom
contig#34705,Taylor,salmon,limma-voom
contig#59081,Taylor,salmon,limma-voom
contig#26623,Taylor,salmon,limma-voom
contig#59260,Taylor,salmon,limma-voom
contig#40640,Zac_contrasts-filtered,BWA,limma-voom
contig#53303,Zac_contrasts-filtered,BWA,limma-voom
contig#38785,Zac_contrasts-filtered,BWA,limma-voom
contig#46415,Zac_contrasts-filtered,BWA,limma-voom
contig#30878,Zac_contrasts-filtered,BWA,limma-voom
contig#9115,Zac_contrasts-filtered,BWA,limma-voom
contig#11186,Zac_contrasts-filtered,BWA,limma-voom
contig#24659,Zac_contrasts-filtered,BWA,limma-voom
contig#29599,Zac_contrasts-filtered,BWA,limma-voom
contig#24502,Zac_contrasts-filtered,BWA,limma-voom
contig#56938,Zac_contrasts-unfiltered,BWA,limma-voom
contig#46631,Zac_contrasts-unfiltered,BWA,limma-voom
contig#38785,Zac_contrasts-unfiltered,BWA,limma-voom
contig#30878,Zac_contrasts-unfiltered,BWA,limma-voom
contig#9115,Zac_contrasts-unfiltered,BWA,limma-voom
contig#40640,Zac_contrasts-unfiltered,BWA,limma-voom
contig#53303,Zac_contrasts-unfiltered,BWA,limma-voom
contig#46415,Zac_contrasts-unfiltered,BWA,limma-voom
contig#11186,Zac_contrasts-unfiltered,BWA,limma-voom
contig#9231,Zac_contrasts-unfiltered,BWA,limma-voom
contig#52597,PAPER,BWA,DESeq2
contig#37085,PAPER,BWA,DESeq2
contig#20908,PAPER,BWA,DESeq2
contig#45384,PAPER,BWA,DESeq2
contig#29424,PAPER,BWA,DESeq2
contig#45102,PAPER,BWA,DESeq2
contig#4342,PAPER,BWA,DESeq2
contig#52412,PAPER,BWA,DESeq2
contig#23350,PAPER,BWA,DESeq2
contig#49862,PAPER,BWA,DESeq2
