Contig Name,Log2 Fold Change,p- value,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#52597,-3.84,1.39E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#37085,-3.59,6.07E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#20908,-3.34,5.03E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#45384,-3.27,4.02E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#29424,-3.19,2.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#45102,-3.17,2.43E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#4342,-3.16,3.65E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#52412,-3.15,4.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#23350,-3.11,8.55E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#49862,-3.07,4.77E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#32563,-3.06,6.27E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#18663,-3.04,5.88E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#25825,-3.02,7.47E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#24446,-3.00,2.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#12244,-2.97,1.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#1996,-2.95,1.51E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#26903,-2.93,1.84E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#51461,-2.92,1.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#28354,-2.92,4.64E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#36253,-2.90,9.11E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#12500,-2.89,1.14E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#5533,-2.86,2.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#6429,-2.84,1.74E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#15466,-2.82,6.53E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#40451,-2.82,3.46E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#39238,-2.82,1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#21923,-2.81,1.52E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#16018,-2.81,3.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#52288,-2.80,3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#38526,-2.80,3.41E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#8499,-2.79,3.68E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#3739,-2.78,1.13E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#9563,-2.78,3.76E-05,gb,ADJ11762.1," GA19326, partial [Drosophila pseudoobscura] ",gi,299119921,gb,ADJ11763.1," GA19326, partial [Drosophila pseudoobscura] ",gi,299119923,gb,ADJ11764.1," GA19326, partial [Drosophila pseudoobscura] ",gi,299119925,gb,ADJ11765.1," GA19326, partial [Drosophila pseudoobscura] ",gi,299119927,gb,ADJ11766.1," GA19326, partial [Drosophila pseudoobscura]",,,,
contig#30197,-2.78,4.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#10636,-2.77,7.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#32662,-2.77,5.13E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#35515,-2.77,4.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#42475,-2.77,3.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#8392,-2.76,4.28E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#34735,-2.76,5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#5376,-2.76,1.15E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#30561,-2.74,6.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#34734,-2.74,5.93E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#36256,-2.71,3.13E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#26623,-2.71,3.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#23653,-2.70,6.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#19501,-2.67,5.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#27619,-2.65,8.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#50069,-2.65,7.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#22714,-2.64,1.13E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#37947,-2.64,1.16E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#11856,-2.64,7.01E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
contig#970,-2.63,1.09E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
